Name of infrastructure,OID
Vredehoek Library,12014
Pinelands Library,11986
Langa Library,11970
Kensington Library,11987
Kloof Street Library,12039
Gordon's Bay Library,11982
Ravensmead Library,12031
Kuils River Library,#N/A
Edgemead Library,11981
Eikendal Library,12025
Valhalla Park Library,11965
Manenberg Library,12104
Hanover Park Library,11952
Bishop Lavis Library,11967
Bonteheuwel Library,#N/A
Tafelsig Library,11989
Rocklands Library,12083
Tokai Library,12024
Wynberg Library,11935
Retreat Library,12098
Meadowridge Library,12091
Ocean View Library,12094
Lotus River Library,12142
Grassy Park,#N/A
Woodstock Library,12015
Camps Bay,#N/A
Kuyasa Library,11903
Bloubergstrand Library,12027
Suider Strand Library,11964
Strandfontein Library,11963
PD Paulse Library,12205
Rylands Library,11974
Gugulethu Library,#N/A
Athlone Library,12262
Landsdowne Library,#N/A
Avondale Library,#N/A
Koeberg Library,#N/A
Maitland Library,#N/A
Observatory Library,#N/A
Table View Library,#N/A
Wesfleur Library,#N/A
Claremont Library,#N/A
Fish Hoek Library,#N/A
Hangberg Library,#N/A
Hout Bay Library,#N/A
Kommetjie Library,#N/A
Masiphumelele,#N/A
Plumstead Library,#N/A
Rondebosch Library,#N/A
Simon's Town Library,#N/A
Brown's Farm Library,#N/A
Khayelitsha Library,#N/A
Kulani Library,#N/A
Lentegeur Library,#N/A
Philippi East Library,#N/A
Weltevreden Library,#N/A
Westridge Library,#N/A
Belhar Library,#N/A
Bridgetown Library,#N/A
Crossroads Library,12272
Delft Library,#N/A
Delft South Library,#N/A
Heideveld Library,#N/A
Nyanga Library,#N/A
Adriaanse Library,#N/A
Bellvile South Library,#N/A
Bothasig Library,#N/A
Brackenfell Library,#N/A
Durbanville Library,#N/A
Elsies River Library,#N/A
Fisantekraal Library,#N/A
Huguenot Square Library,#N/A
Leonsdale Library,#N/A
Parow Library,#N/A
Scottsdene Library,12443
Eerste River Library,12438
Heldezicht Library,#N/A
Lwandle/Hector Peterson Library,#N/A
Macassa Library,#N/A
Meltonrose Library,#N/A
Sir Lowry's Pass Library,#N/A
Tygervalley Library,#N/A
Brooklyn Library,#N/A
Goodwood Environmental health office (Air Quality Office),#N/A
Somerset West Clinic,10877
OHS Clinic Gordons Bay,10873
Mitchells Plain (Poly Clinic ),#N/A
SCHOTSCHE KLOOF clinic,#N/A
Strand Clinic,10888
Goodwood Dirkey Uys Clinic,11030
Kuyasa Clinic,#N/A
Luvuyo Clinic,11023
Matthew Goniwe,#N/A
Mayenzeke Clinic,10983
Town Two Clinic,11230
Fish Hoek Clinic,10916
Muizenberg Clinic,10941
Nolungile Youth Centre,#N/A
Eikendal Clinic,12121
Harare Environmental Health Office,#N/A
Seawinds Clinic,12096
Saxon Sea Clinic,#N/A
Spencer Road Clinic,11985
Factreton Clinic,#N/A
Valhalla Park Clinic,11979
Albow Gardens Clinic,11971
Parow Clinic,11923
Ravensmead Clinic,11977
Westlake Clinic,11922
Ocean View CHC,#N/A
Parkwood Clinic,11921
Klip Road Clinic,12093
Lavender Hill Clinic,12188
Lotus River Clinic,11951
Durbanville Clinic,11961
Rocklands Clinic,12084
Tafelsig CHC,#N/A
